id,user_id,call_request_id,title,summary,total_estimate,status,created_at
1,11ff8e22-02c8-4549-b46d-5203c8c1c918,3,Trip to Miami,"The caller, Al Abd, inquired about travel plans from New York City to Miami for two travelers, departing on February 27th and returning on March 8th. They specified a budget of $650 per ticket for economy class and confirmed the details with the assistant. The assistant agreed to prepare a personalized travel proposal based on the provided information, ending the call after confirmation.",171.65,approved,2026-02-25 04:21:37.307999
2,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,4,Travel Concierge Proposal,"The user, Mahid, contacted Travnr to book a one-way economy flight from Saint Louis to Washington, DC, departing on March 7. Mahid is traveling alone and is looking for the cheapest possible option with no specific airline or seat preferences. The assistant has taken the user's travel details and will prepare a personalized travel proposal to be sent shortly.",0.00,sent,2026-02-25 07:42:03.750825
3,11ff8e22-02c8-4549-b46d-5203c8c1c918,9,Travel Concierge Proposal,"The user, Al Abd, contacted Travnr to book a flight from New York (JSK, assumed to be a typo and corrected to JFK by the assistant) to Los Angeles (LAX) in economy class. The travel dates are February 27th to March 9th for one traveler, with a budget of up to $500. The user has no seat or airline preferences. The assistant agreed to prepare a personalized travel proposal based on these details.",0.00,approved,2026-02-25 13:46:15.036333
4,11ff8e22-02c8-4549-b46d-5203c8c1c918,12,Travel Concierge Proposal,"The user initiated a call with Travnr, a travel assistance service, but struggled to articulate their needs, apologizing for an unspecified reason. The assistant, attempting to provide support, encouraged the user to share their travel plans, but the call was cut off before the user could elaborate on their requirements.",0.00,sent,2026-02-25 18:56:52.505691
5,11ff8e22-02c8-4549-b46d-5203c8c1c918,14,Travel Concierge Proposal,"The user, Al Abd, contacted Travnr to book a flight from New York City's JFK airport to London, traveling from February 27th to March 9th. The user preferred economy class for one traveler and had a budget of $600. The assistant collected the user's trip details and confirmed that a personalized travel proposal would be prepared shortly. The call ended with the assistant thanking the user for choosing Travnr.",0.00,sent,2026-02-25 21:09:18.483957
7,77b4340e-4898-4305-ba29-483db7d302d4,16,Trip to Los Angeles,"The user, Almurtada, contacted Travnr to book a flight from New York City to Los Angeles for one traveler, with a maximum budget of $650 for an economy class ticket. The travel dates are from February 27 to March 7. The assistant confirmed the details and agreed to prepare a personalized travel proposal for the user.",495.40,approved,2026-02-26 02:19:08.751481
8,41121918-8e3d-48a4-9100-0c2beefed9c1,17,Trip to Miami,"The user, Almurtada, contacted Travnr to book a flight from New York City to Miami for one traveler, with a departure date of February 27th and a return date of March 10th. The user specified a maximum budget of $500 and preferred an economy class flight with no other specific preferences. The assistant confirmed the details, offered to prepare a personalized travel proposal, and ended the call, promising to follow up shortly.",313.91,approved,2026-02-26 02:46:00.63014
9,b8f2f797-b7bb-4201-ad5a-92bcaac43ed6,18,Travel Concierge Proposal,"The user, Mahid, contacted the assistant to book a one-way economy flight from Saint Louis to DC on March 7th. Despite some initial background noise and distracted conversation, the assistant was able to clarify the user's needs and confirm the flight details. The user did not specify a budget and had no other preferences, so the assistant prepared a proposal for the flight. The call ended with the assistant agreeing to send the travel proposal and wishing the user a great day.",0.00,approved,2026-02-26 03:30:38.170388
10,8e2c034f-8441-4355-ba6a-40e61a804cb8,19,Travel Concierge Proposal,Not enough information to generate summary.,0.00,sent,2026-02-26 03:40:01.114857
11,8e2c034f-8441-4355-ba6a-40e61a804cb8,20,Travel Concierge Proposal,"The caller, Mahid, inquired about booking a one-way economy flight from St. Louis to D.C. on March 7th for one person, but ended the call abruptly without receiving any further assistance or booking confirmation.",0.00,sent,2026-02-26 03:40:46.256923
